Commodity,Planted All Purpose Acres,Harvested Acres,Yield,Production,Price per Unit,Value of Production in Dollars
"AVOCADOS, FRESH MARKET",,,,(D) TONS,(D) $ / TON,
"AVOCADOS, PROCESSING",,,,(D) TONS,(D) $ / TON,
AVOCADOS,,"47,600",2.48 TONS / ACRE,"118,000 TONS","2,040 $ / TON",
"PRUNES, PROCESSING",,,,"95,700 TONS, DRY BASIS","2,250 $ / TON","215,325,000"
"PRUNES, UTILIZED",,,,"95,700 TONS, DRY BASIS",,"215,325,000"
PRUNES,,"37,000","2.59 TONS / ACRE, DRY BASIS","95,800 TONS, DRY BASIS","750 $ / TON, FRESH BASIS",
"MELONS, CANTALOUP","25,700","25,700",275 CWT / ACRE,"7,067,500 CWT",29 $ / CWT,"204,343,000"
"MELONS, CANTALOUP, FRESH MARKET",,,,,29 $ / CWT,"204,343,000"
"MELONS, WATERMELON","13,000","12,900",500 CWT / ACRE,"6,450,000 CWT",24.1 $ / CWT,"155,134,000"
"MELONS, WATERMELON, FRESH MARKET",,,,,24.1 $ / CWT,"155,134,000"
"MELONS, HONEYDEW","8,400","8,400",280 CWT / ACRE,"2,352,000 CWT",34 $ / CWT,"79,808,000"
"MELONS, HONEYDEW, FRESH MARKET",,,,,34 $ / CWT,"79,808,000"
"MELONS, CANTALOUP, UTILIZED",,,,"7,046,300 CWT",,
"MELONS, WATERMELON, UTILIZED",,,,"6,437,100 CWT",,
"MELONS, HONEYDEW, UTILIZED",,,,"2,347,300 CWT",,
"SWEET CORN, FRESH MARKET",,,,,47.3 $ / CWT,"172,479,000"
SWEET CORN,"22,300","22,100",165 CWT / ACRE,"3,646,500 CWT",47.3 $ / CWT,"172,479,000"
"SWEET CORN, UTILIZED",,,,"3,646,500 CWT",,
"PLUMS, UTILIZED",,,,"85,390 TONS",,"140,040,000"
"PLUMS, FRESH MARKET",,,,"85,390 TONS","1,640 $ / TON","140,040,000"
PLUMS,,"9,800",9.14 TONS / ACRE,"89,600 TONS","1,640 $ / TON",
"PEARS, UTILIZED",,,,"162,330 TONS",,"117,206,000"
"PEARS, FRESH MARKET",,,,"60,780 TONS",966 $ / TON,"58,713,000"
"PEARS, PROCESSING",,,,"101,550 TONS",576 $ / TON,"58,493,000"
PEARS,,"8,500",19.1 TONS / ACRE,"162,500 TONS",722 $ / TON,
"OLIVES, PROCESSING",,,,"120,750 TONS",786 $ / TON,"94,869,000"
"OLIVES, UTILIZED",,,,"120,750 TONS",,"94,869,000"
OLIVES,,"40,000",3.04 TONS / ACRE,"121,500 TONS",786 $ / TON,
"DATES, UTILIZED",,,,"35,160 TONS",,"92,342,000"
DATES,,"10,700",3.3 TONS / ACRE,"35,300 TONS","2,630 $ / TON",
"DATES, PROCESSING",,,,(D) TONS,(D) $ / TON,(D)
"DATES, FRESH MARKET",,,,(D) TONS,(D) $ / TON,(D)
WHEAT,"338,000","97,000",86 BU / ACRE,"8,338,000 BU",10.3 $ / BU,"86,017,000"
"WHEAT, WINTER","320,000","80,000",80 BU / ACRE,"6,400,000 BU",10.2 $ / BU,"65,280,000"
"WHEAT, SPRING, DURUM","18,000","17,000",114 BU / ACRE,"1,938,000 BU",10.7 $ / BU,"20,737,000"
"KIWIFRUIT, FRESH MARKET",,,,"27,350 TONS","2,850 $ / TON","77,948,000"
"KIWIFRUIT, UTILIZED",,,,"27,350 TONS",,"77,948,000"
KIWIFRUIT,,"4,800",5.7 TONS / ACRE,"27,400 TONS","2,850 $ / TON",
GRAPEFRUIT,,"9,000",444 BOXES / ACRE,"91,280,000 $, FOB","17.91 $ / BOX, PHD EQUIV","71,624,000"
"GRAPEFRUIT, UTILIZED",,,,"172,000 TONS",,
"GRAPEFRUIT, FRESH MARKET",,,,"112,000 TONS",,
"GRAPEFRUIT, PROCESSING",,,,"48,000 TONS",,
"ARTICHOKES, FRESH MARKET",,,,,83 $ / CWT,"64,242,000"
ARTICHOKES,"4,300","4,300",180 CWT / ACRE,"774,000 CWT",83 $ / CWT,"64,242,000"
"ARTICHOKES, UTILIZED",,,,"774,000 CWT",,
"BEANS, SNAP","7,300","7,200",75 CWT / ACRE,"540,000 CWT",108 $ / CWT,"58,104,000"
"BEANS, SNAP, UTILIZED",,,,"540,000 CWT",,
"BEANS, SNAP, FRESH MARKET",,,,,(D) $ / CWT,(D)
"BEANS, SNAP, PROCESSING",,,,,(D) $ / TON,(D)
"APPLES, UTILIZED",,,,"239,300,000 LB",,"52,738,000"
"APPLES, PROCESSING",,,,"188,900,000 LB",370 $ / TON,"34,947,000"
"APPLES, FRESH MARKET",,,,"50,400,000 LB",0.353 $ / LB,"17,791,000"
APPLES,,"10,200","23,500 LB / ACRE","240,000,000 LB",0.22 $ / LB,
SQUASH,"6,300","6,200",200 CWT / ACRE,"1,240,000 CWT",41.6 $ / CWT,"50,288,000"
"SQUASH, UTILIZED",,,,"1,210,200 CWT",,
"SQUASH, FRESH MARKET",,,,,(D) $ / CWT,(D)
"SQUASH, PROCESSING",,,,,(D) $ / TON,(D)
"CORN, GRAIN",,"40,000",178 BU / ACRE,"7,120,000 BU",6.15 $ / BU,"43,788,000"
"CORN, SILAGE",,"350,000",26 TONS / ACRE,"9,100,000 TONS",,
CORN,"400,000",,,,,
"APRICOTS, UTILIZED",,,,"32,260 TONS",,"43,170,000"
APRICOTS,,"5,300",6.1 TONS / ACRE,"32,300 TONS","1,340 $ / TON",
"APRICOTS, PROCESSING",,,,(D) TONS,(D) $ / TON,(D)
"APRICOTS, FRESH MARKET",,,,(D) TONS,(D) $ / TON,(D)
